iter	RMSE
148	0.8607840343
149	0.8607302949
150	0.8606563553
151	0.8605656525
152	0.8605014965
153	0.8604336283
154	0.8603717704
155	0.8603209188
156	0.8602688912
157	0.8602138709
158	0.8601608907
159	0.8601004135
160	0.860050757
161	0.8600012491
162	0.8599476501
163	0.8599013918
164	0.8598513453
165	0.8597913385
166	0.8597320092
167	0.8596744933
168	0.8596246607
169	0.85958043
170	0.8595274865
171	0.8594822282
172	0.8594301497
173	0.8593887878
174	0.8593359461
175	0.8592810555
176	0.8592016492
177	0.8591179161
178	0.8590726741
179	0.8590243603
180	0.8589733531
181	0.8589306806
182	0.8588902042
183	0.8588181908
184	0.8587692562
185	0.8587242612
186	0.8586840025
187	0.8586405195
188	0.8586017354
189	0.8585651108
190	0.8585095263
191	0.8584465439
192	0.8583990671
193	0.8583617511
194	0.8583173037
195	0.8582639788
196	0.8582191849
197	0.8581803818
198	0.8581299314
199	0.858083613
200	0.8580468904
201	0.8580111147
202	0.857958909
203	0.8579249509
204	0.8578812776
205	0.857816845
206	0.8577825777
207	0.8577447416
208	0.8577092568
209	0.8576744159
210	0.8576311853
211	0.8575968726
212	0.8575295716
213	0.8574851569
214	0.857449016
215	0.8574107096
216	0.8573784383
217	0.8573334842
218	0.8572867051
219	0.8572549607
220	0.857226329
221	0.8571950001
222	0.8571369342
223	0.8570834979
224	0.8570520878
225	0.8570178659
226	0.8569681067
227	0.8569337294
228	0.8568990469
229	0.8568719229
230	0.8568351483
231	0.8567845807
232	0.8567539955
233	0.8567235233
234	0.8566946078
235	0.8566588516
236	0.8566135557
237	0.8565872967
238	0.8565563245
239	0.8565308238
240	0.8564976832
241	0.8564562556
242	0.8564184749
243	0.8563827452
244	0.8563495988
245	0.8563168693
246	0.8562746347
247	0.8562356675
248	0.8562033138
249	0.8561524047
250	0.8560999716
251	0.8560689438
252	0.8560409949
253	0.8560085958
254	0.8559829267
255	0.8559515903
256	0.8559064852
257	0.8558779225
258	0.8558476092
259	0.8558168004
260	0.8557925709
261	0.8557638523
262	0.8557216283
263	0.8556914236
264	0.855658669
265	0.8556204346
266	0.855594069
267	0.8555691865
268	0.8555379491
269	0.8555112385
270	0.8554896639
271	0.8554607068
272	0.8554351354
273	0.8554102482
274	0.8553673979
275	0.8553446019
276	0.8553172002
277	0.855286791
278	0.8552537544
279	0.8552099827
280	0.8551860787
281	0.8551544086
282	0.8551103273
283	0.8550874102
284	0.8550662057
285	0.8550381479
286	0.8550142771
287	0.8549924616
288	0.8549718639
289	0.8549487908
290	0.8549284586
291	0.8548877546
292	0.8548659358
293	0.8548399658
294	0.8548207353
295	0.854788709
296	0.8547585475
297	0.854735164
298	0.8547125415
299	0.854687519
300	0.8546504981
301	0.8546233789
302	0.8545863552
303	0.8545633098
304	0.854541978
305	0.8545193124
306	0.854498208
307	0.8544690649
308	0.8544443019
309	0.8544158427
310	0.8543889066
311	0.8543637222
312	0.8543444048
313	0.8543214291
314	0.8542882789
315	0.8542539844
316	0.8542256331
317	0.8541960234
318	0.8541772357
319	0.8541540649
320	0.8541362291
321	0.8541073023
322	0.8540855017
323	0.8540633957
324	0.8540303499
325	0.8540096527
326	0.8539781677
327	0.8539448899
328	0.8539267066
329	0.8538886997
330	0.8538724976
331	0.8538543128
332	0.8538383007
333	0.8538217164
334	0.8537990317
335	0.8537788627
336	0.853755948
337	0.8537376845
338	0.8537127859
339	0.8536952459
340	0.8536742737
341	0.8536532247
342	0.8536293915
343	0.8536014009
344	0.853585384
345	0.853567994
346	0.8535488874
347	0.8535280641
348	0.8535057529
349	0.8534871026
350	0.8534590692
351	0.8534391973
352	0.8534014738
353	0.8533782057
354	0.8533584845
355	0.8533331172
356	0.8533068335
357	0.8532848599
358	0.8532650984
359	0.8532310679
360	0.8532069939
361	0.8531922287
362	0.8531775014
363	0.8531577375
364	0.8531225962
365	0.8531076387
366	0.8530844771
367	0.853063757
368	0.8530380374
369	0.8530169727
370	0.8529838482
371	0.8529641561
372	0.8529427079
373	0.8529159161
374	0.8528898867
375	0.8528720626
376	0.8528564519
377	0.8528402684
378	0.8528168323
379	0.852798625
380	0.8527642323
381	0.8527318233
382	0.8527088423
383	0.8526928469
384	0.8526732244
385	0.8526527997
386	0.8526282513
387	0.8526138579
388	0.8525951881
389	0.8525775105
390	0.8525588399
391	0.8525394434
392	0.8525231012
393	0.8525095078
394	0.8524920958
395	0.8524670845
396	0.8524432181
397	0.8524155322
398	0.8523967435
399	0.8523728369
400	0.852359203
401	0.852342399
402	0.8523245634
403	0.8523055818
404	0.8522857976
405	0.8522673115
406	0.8522512314
407	0.8522217823
408	0.8522055103
409	0.852185571
410	0.8521647144
411	0.8521433226
412	0.8521214335
413	0.8521042428
414	0.8520860585
415	0.852064359
416	0.8520453333
417	0.8520233654
418	0.8520091909
419	0.8519941758
420	0.8519743461
421	0.8519612025
422	0.8519409136
423	0.8519270435
424	0.851908053
425	0.8518909726
426	0.8518763756
427	0.8518626191
428	0.8518497795
429	0.8518378569
430	0.8518217304
431	0.8518055655
432	0.8517884448
433	0.8517742665
434	0.851762916
435	0.8517502278
436	0.851721411
437	0.8517078431
438	0.8516912556
439	0.8516630101
440	0.8516487915
441	0.8516291449
442	0.851613779
443	0.8515978395
444	0.8515716551
445	0.8515443232
446	0.8515232598
447	0.8515104533
448	0.851488051
449	0.8514708093
450	0.8514534525
451	0.8514252756
452	0.8514040564
453	0.8513907893
454	0.8513762602
455	0.851356225
456	0.8513403953
457	0.8513242213
458	0.8513107617
459	0.8512891572
460	0.851277112
461	0.8512620456
462	0.8512475909
463	0.8512338624
464	0.8512219311
465	0.8511967295
466	0.8511856391
467	0.8511690031
468	0.8511526728
469	0.8511413523
470	0.8511229561
471	0.8511117117
472	0.8510887635
473	0.8510705957
474	0.8510578206
475	0.8510440891
476	0.8510319639
477	0.8510184615
478	0.8510049207
479	0.8509914943
480	0.8509777235
481	0.8509615425
482	0.8509460881
483	0.8509347648
484	0.8509162112
485	0.8509038164
486	0.8508855681
487	0.8508708009
488	0.8508583671
489	0.850840424
490	0.8508271098
491	0.8508095486
492	0.850795354
493	0.8507842583
494	0.8507697189
495	0.8507577046
496	0.8507472971
497	0.8507366217
498	0.850724186
499	0.8507097221
500	0.8506919671
501	0.8506689693
502	0.8506506395
503	0.8506277936
504	0.8506176524
505	0.8506033398
506	0.850583095
507	0.8505646103
508	0.8505434461
509	0.8505235826
510	0.8505119475
511	0.8505018433
512	0.8504856915
513	0.8504740176
514	0.8504610422
515	0.8504475308
516	0.8504365454
517	0.8504239905
518	0.8503994542
519	0.8503873198
520	0.8503776352
521	0.8503671848
522	0.8503549351
523	0.8503410008
524	0.8503308945
525	0.8503165005
526	0.8503065088
527	0.8502902767
528	0.8502773751
529	0.8502558974
530	0.8502380181
531	0.85022703
532	0.850217267
533	0.8502042876
534	0.8501896617
535	0.8501793622
536	0.8501659611
537	0.8501542063
538	0.8501382394
539	0.8501285136
540	0.8501161456
541	0.8500978804
542	0.8500775087
543	0.8500505883
544	0.8500373383
545	0.8500236669
546	0.8500112974
547	0.8499900811
548	0.8499707409
549	0.8499538131
550	0.8499432809
551	0.849934472
552	0.8499210288
553	0.8499075088
554	0.8498977037
555	0.8498806595
556	0.8498691306
557	0.849855648
558	0.8498452295
559	0.8498323594
560	0.8498208681
561	0.8498085722
562	0.8497966209
563	0.8497844396
564	0.8497723347
565	0.8497600764
566	0.8497477414
567	0.849737628
568	0.8497274762
569	0.8497189333
570	0.849709739
571	0.8496921164
572	0.8496749532
573	0.8496628084
574	0.8496433075
575	0.84963235
576	0.8496098599
577	0.8495848021
578	0.8495725794
579	0.8495641499
580	0.8495501644
581	0.8495327683
582	0.8495225758
583	0.8495108504
584	0.8495018071
585	0.8494829923
586	0.8494736039
587	0.8494606898
588	0.8494387317
589	0.8494221381
590	0.8494122125
591	0.8494016736
592	0.8493890651
593	0.8493770312
594	0.8493654188
595	0.8493562973
596	0.8493453745
597	0.8493321902
598	0.8493092705
599	0.8493013366
600	0.84928865
601	0.8492790294
602	0.8492669173
603	0.8492569899
604	0.8492463341
605	0.8492348348
606	0.849226057
607	0.8492150174
608	0.8492048211
609	0.8491887596
610	0.8491799046
611	0.8491695162
612	0.8491470138
613	0.8491301845
614	0.8491203705
615	0.8491114765
616	0.8491036174
617	0.849086519
618	0.8490774329
619	0.8490698035
620	0.8490608706
621	0.849050634
622	0.8490431578
623	0.8490275918
624	0.849016703
625	0.8490063126
626	0.8489939665
627	0.8489834608
628	0.8489715745
629	0.8489628323
630	0.8489483384
631	0.8489382539
632	0.8489270188
633	0.8489182762
634	0.8488976461
635	0.8488826526
636	0.8488718003
637	0.8488644759
638	0.8488530482
639	0.8488426941
640	0.8488326083
641	0.8488231743
642	0.8488151208
643	0.848805725
644	0.848791612
645	0.8487814489
646	0.84877351
647	0.8487573254
648	0.8487431731
649	0.8487319356
650	0.8487177062
651	0.848710764
652	0.8487026711
653	0.848686255
654	0.8486749783
655	0.848663011
656	0.8486543807
657	0.848646901
658	0.8486383088
659	0.8486250368
660	0.8486175185
661	0.8486084657
662	0.8486007555
663	0.8485818823
664	0.8485738265
665	0.8485617427
666	0.8485528428
667	0.848537613
668	0.8485305159
669	0.8485187768
670	0.8485107588
671	0.8485041218
672	0.8484954132
673	0.8484828295
674	0.8484748879
675	0.8484672915
676	0.8484463052
677	0.8484363298
678	0.8484284261
679	0.8484200236
680	0.8484124267
681	0.8484055972
682	0.8483884462
683	0.8483792376
684	0.8483715252
685	0.8483600525
686	0.8483483877
687	0.8483407519
688	0.8483315426
689	0.8483213357
690	0.8483137379
691	0.8483062552
692	0.8482878743
693	0.8482759783
694	0.8482683802
695	0.8482612041
696	0.8482505357
697	0.8482410185
698	0.8482282009
699	0.8482156516
700	0.8482068248
701	0.8481918575
702	0.848173359
703	0.8481616533
704	0.8481441136
705	0.8481289533
706	0.8481064233
707	0.848100167
708	0.8480930278
709	0.8480769453
710	0.8480665434
711	0.8480598645
712	0.8480536079
713	0.8480448178
714	0.8480371024
715	0.8480304618
716	0.8480168348
717	0.8480091191
718	0.8479977567
719	0.8479836301
720	0.8479749161
721	0.8479565664
722	0.8479469308
723	0.8479384467
724	0.8479315365
725	0.8479200962
726	0.8479132627
727	0.8478992115
728	0.8478877324
729	0.8478802075
730	0.8478701103
731	0.8478623549
732	0.8478471895
733	0.8478312559
734	0.8478203902
735	0.8478127496
736	0.8478027667
737	0.8477932445
738	0.84778545
739	0.8477790762
740	0.84777132
741	0.847764946
742	0.8477557305
743	0.8477486653
744	0.8477387969
745	0.8477306563
746	0.8477228612
747	0.8477158725
748	0.8477098053
749	0.8477002821
750	0.8476912579
751	0.8476801984
752	0.8476674106
753	0.8476608439
754	0.8476506672
755	0.8476397224
756	0.8476315425
757	0.8476225176
758	0.847608116
759	0.8475964025
760	0.8475895279
761	0.8475763547
762	0.8475705554
763	0.84756249
764	0.8475453989
765	0.8475379478
766	0.8475289219
767	0.8475234679
768	0.8475168232
769	0.8475032648
770	0.8474933935
771	0.847478644
772	0.8474709619
773	0.8474542146
774	0.8474424606
775	0.8474325886
776	0.8474246371
777	0.8474159174
778	0.8474083883
779	0.8474007824
780	0.8473914093
781	0.8473817672
782	0.8473721634
783	0.8473649413
784	0.8473581033
785	0.8473528403
786	0.8473437356
787	0.8473254875
788	0.8473117339
789	0.8472968276
790	0.8472891822
791	0.8472829583
792	0.8472712787
793	0.8472607132
794	0.8472466128
795	0.8472298611
796	0.8472225225
797	0.8472156065
798	0.8472094973
799	0.8472007369
800	0.8471955497
801	0.8471884798
802	0.847181333
803	0.8471745319
804	0.8471684608
805	0.8471622745
806	0.8471541668
807	0.847143984
808	0.8471340702
809	0.847127653
810	0.8471158944
811	0.847108747
812	0.8471005619
813	0.8470944135
814	0.8470866126
815	0.8470737774
816	0.8470673213
817	0.8470610958
818	0.8470559847
819	0.847048683
820	0.8470403052
821	0.8470295831
822	0.8470233957
823	0.8470116357
824	0.8470006057
825	0.8469918815
826	0.8469852327
827	0.8469737796
828	0.8469624801
829	0.8469550623
830	0.8469460302
831	0.8469392273
832	0.8469333851
833	0.8469258134
834	0.8469191255
835	0.8469109771
836	0.8469050579
837	0.8468994077
838	0.846893719
839	0.8468848016
840	0.8468764222
841	0.8468611238
842	0.8468557808
843	0.8468469399
844	0.8468410202
845	0.8468291808
846	0.8468224922
847	0.8468156498
848	0.8468012345
849	0.8467915857
850	0.8467856272
851	0.8467775544
852	0.8467704809
853	0.8467654449
854	0.8467594094
855	0.8467543349
856	0.8467483761
857	0.84674161
858	0.8467346517
859	0.846725425
860	0.8467158906
861	0.8467098163
862	0.8466992822
863	0.8466917852
864	0.8466854416
865	0.8466794055
866	0.84667137
867	0.8466667179
868	0.8466589131
869	0.8466537995
870	0.8466403042
871	0.846634114
872	0.8466274238
873	0.8466183498
874	0.8466085451
875	0.8466037004
876	0.8465967024
877	0.8465912809
878	0.8465832446
879	0.8465748623
880	0.8465680179
881	0.8465582126
882	0.8465500991
883	0.8465388709
884	0.8465323723
885	0.8465249123
886	0.8465127223
887	0.846506262
888	0.8464940718
889	0.8464876882
890	0.846482689
891	0.8464757669
892	0.8464712291
893	0.846465153
894	0.8464592307
895	0.8464498856
896	0.8464435786
897	0.8464376177
898	0.8464303107
899	0.8464198116
900	0.846405351
901	0.8463993514
902	0.8463930824
903	0.8463878519
904	0.8463788137
905	0.8463725831
906	0.8463671602
907	0.8463620833
908	0.8463546603
909	0.8463455064
910	0.8463350447
911	0.8463235443
912	0.8463168517
913	0.84631189
914	0.8462988508
915	0.8462876961
916	0.8462737334
917	0.8462683867
918	0.8462586164
919	0.846253462
920	0.8462466919
921	0.8462393448
922	0.8462311898
923	0.8462259582
924	0.8462196496
925	0.8462110328
926	0.8462045316
927	0.8461962994
928	0.8461882594
929	0.846181181
930	0.8461706788
931	0.8461637927
932	0.8461537134
933	0.8461454037
934	0.8461335931
935	0.8461286687
936	0.8461218976
937	0.8461107791
938	0.8461058161
939	0.846101007
940	0.8460911579
941	0.8460788078
942	0.8460737677
943	0.8460631102
944	0.8460568388
945	0.8460457964
946	0.8460394479
947	0.8460312525
948	0.8460225184
949	0.8460165545
950	0.8460099364
951	0.846002087
952	0.8459958536
953	0.8459911978
954	0.8459836561
955	0.8459772302
956	0.8459672641
957	0.8459605687
958	0.8459522956
959	0.8459464467
960	0.8459373268
961	0.8459325552
962	0.8459267062
963	0.8459214727
964	0.8459121987
965	0.8459074655
966	0.8458951897
967	0.8458896097
968	0.8458847993
969	0.84587768
970	0.845864711
971	0.8458568603
972	0.8458463156
973	0.8458346931
974	0.8458281891
975	0.8458230705
976	0.8458174516
977	0.845803789
978	0.8457991706
979	0.845793513
980	0.8457838527
981	0.8457756548
982	0.8457674954
983	0.8457609909
984	0.8457516381
985	0.8457467115
986	0.8457372046
987	0.84573197
988	0.8457278516
989	0.8457234637
990	0.8457171898
991	0.8457100305
992	0.8457049112
993	0.845697059
994	0.8456861659
995	0.8456800456
996	0.8456706535
997	0.8456648411
998	0.8456577584
999	0.845651253
1000	0.8456420145
1001	0.8456354705
1002	0.8456295039
1003	0.8456243841
1004	0.8456185714
1005	0.84560914
1006	0.8455992467
1007	0.8455942037
1008	0.8455896611
1009	0.8455813074
1010	0.8455739545
1011	0.8455652156
1012	0.8455597875
1013	0.8455507405
1014	0.8455396144
1015	0.8455336471
1016	0.8455261013
1017	0.8455208269
1018	0.8455129345
1019	0.8455056195
1020	0.8455008455
1021	0.8454952629
1022	0.8454848292
1023	0.845478746
1024	0.8454701601
1025	0.8454643078
1026	0.8454593411
1027	0.8454537967
1028	0.8454482138
1029	0.8454423614
1030	0.8454328126
1031	0.8454290008
1032	0.8454232252
1033	0.8454169105
1034	0.8454124825
1035	0.8454051667
1036	0.8453997375
1037	0.8453901112
1038	0.8453856831
1039	0.8453760566
1040	0.8453675852
1041	0.8453591138
1042	0.8453500646
1043	0.8453436724
1044	0.8453351622
1045	0.84532954
1046	0.8453233787
1047	0.8453187192
1048	0.8453117876
1049	0.8453078212
1050	0.8452994646
1051	0.8452953056
1052	0.8452891055
1053	0.8452824432
1054	0.8452768977
1055	0.8452727386
1056	0.8452665383
1057	0.8452614549
1058	0.8452561403
1059	0.8452492082
1060	0.8452428922
1061	0.8452333412
1062	0.8452255231
1063	0.8452158178
1064	0.8452070367
1065	0.8452028002
1066	0.8451963683
1067	0.845191477
1068	0.8451868168
1069	0.8451819254
1070	0.8451771495
1071	0.8451729514
1072	0.8451643239
1073	0.8451578147
1074	0.8451514981
1075	0.8451477235
1076	0.8451425622
1077	0.8451311612
1078	0.8451256918
1079	0.8451204534
1080	0.8451164861
1081	0.8451123261
1082	0.8451077425
1083	0.8451026965
1084	0.8450966491
1085	0.8450879438
1086	0.8450835141
1087	0.8450776977
1088	0.8450731523
1089	0.8450648705
1090	0.8450584376
1091	0.84505343
1092	0.8450458028
1093	0.8450407951
1094	0.8450338997
1095	0.8450276977
1096	0.8450237685
1097	0.8450196851
1098	0.8450115569
1099	0.8450023884
1100	0.844995069
1101	0.8449911011
1102	0.8449847447
1103	0.8449775022
1104	0.8449701825
1105	0.8449637489
1106	0.8449578546
1107	0.8449507274
1108	0.8449464126
1109	0.8449400558
1110	0.8449325818
1111	0.8449274577
1112	0.8449208312
1113	0.8449147054
1114	0.8449105445
1115	0.84490569
1116	0.8448979074
1117	0.8448924364
1118	0.8448882369
1119	0.8448833823
1120	0.8448777571
1121	0.8448734804
1122	0.8448689725
1123	0.8448645802
1124	0.8448604575
1125	0.8448543313
1126	0.8448473574
1127	0.8448421943
1128	0.8448353744
1129	0.8448194996
1130	0.8448078631
1131	0.8448018906
1132	0.8447948007
1133	0.8447853601
1134	0.8447799655
1135	0.8447758424
1136	0.8447712569
1137	0.8447659393
1138	0.8447608143
1139	0.8447522597
1140	0.8447454005
1141	0.8447401212
1142	0.8447316049
1143	0.8447247071
1144	0.8447162677
1145	0.8447096009
1146	0.8447045526
1147	0.844699196
1148	0.8446934155
1149	0.8446887525
1150	0.8446843977
1151	0.8446770756
1152	0.8446729135
1153	0.8446681347
1154	0.8446643965
1155	0.8446593865
1156	0.844654415
1157	0.8446468998
1158	0.8446351838
1159	0.8446311371
1160	0.844626705
1161	0.8446230822
1162	0.8446191896
1163	0.8446150658
1164	0.8446088222
1165	0.8446042743
1166	0.8445989171
1167	0.8445936369
1168	0.8445846952
1169	0.8445792607
1170	0.8445739033
1171	0.8445686229
1172	0.8445649614
1173	0.8445585632
1174	0.8445540536
1175	0.8445502763
1176	0.8445451115
1177	0.8445406404
1178	0.8445344347
1179	0.844530349
1180	0.844522139
1181	0.8445186314
1182	0.844514507
1183	0.8445105369
1184	0.8445069136
1185	0.8445009004
1186	0.8444944247
1187	0.8444872936
1188	0.8444823982
1189	0.8444777726
1190	0.8444714123
1191	0.8444640497
1192	0.8444592698
1193	0.844453449
1194	0.8444495557
1195	0.8444393789
1196	0.8444297416
1197	0.844425347
1198	0.8444213764
1199	0.8444157096
1200	0.8444095031
1201	0.8444044915
1202	0.8443941985
1203	0.8443900736
1204	0.8443835584
1205	0.844379472
1206	0.8443740748
1207	0.8443685233
1208	0.8443643597
1209	0.8443595792
1210	0.8443488615
1211	0.8443449291
1212	0.8443412666
1213	0.8443369486
1214	0.844332862
1215	0.8443285439
1216	0.8443244187
1217	0.8443126982
1218	0.8443071077
1219	0.8443020956
1220	0.8442966979
1221	0.8442918785
1222	0.8442875217
1223	0.8442835504
1224	0.8442794635
1225	0.8442710582
1226	0.8442673568
1227	0.8442608022
1228	0.844253592
1229	0.844243837
1230	0.8442363567
1231	0.8442307658
1232	0.8442222829
1233	0.8442134144
1234	0.8442058954
1235	0.8441947516
1236	0.844191127
1237	0.8441865383
1238	0.8441785177
1239	0.8441750087
1240	0.8441705742
1241	0.8441662168
1242	0.8441615894
1243	0.8441563065
1244	0.8441510621
1245	0.8441462804
1246	0.8441374111
1247	0.8441310868
1248	0.8441258808
1249	0.8441174354
1250	0.8441137333
1251	0.8441075631
1252	0.84410147
1253	0.8440952997
1254	0.8440909419
1255	0.8440861599
1256	0.8440818792
1257	0.844077637
1258	0.8440705795
1259	0.8440640234
1260	0.844059434
1261	0.8440553074
1262	0.8440486354
1263	0.8440451259
1264	0.844040305
1265	0.8440367954
1266	0.844030239
1267	0.8440260351
1268	0.8440186686
1269	0.8440142333
1270	0.8440076767
1271	0.8440042441
1272	0.844000233
1273	0.843995219
1274	0.8439871966
1275	0.8439834939
1276	0.8439795598
1277	0.8439759343
1278	0.8439708044
1279	0.8439641318
1280	0.843960699
1281	0.8439556462
1282	0.8439514806
1283	0.8439470449
1284	0.8439358592
1285	0.8439294948
1286	0.8439256762
1287	0.8439180002
1288	0.8439129472
1289	0.8439084342
1290	0.8439036511
1291	0.8439005267
1292	0.8438925034
1293	0.8438827442
1294	0.8438771895
1295	0.8438686259
1296	0.8438654628
1297	0.8438619524
1298	0.8438546231
1299	0.8438473709
1300	0.8438425875
1301	0.8438384984
1302	0.8438352195
1303	0.8438300116
1304	0.8438260382
1305	0.843822142
1306	0.8438184386
1307	0.8438136936
1308	0.8438099516
1309	0.8438053223
1310	0.8438006929
1311	0.8437961407
1312	0.8437909712
1313	0.8437872291
1314	0.8437828697
1315	0.8437783174
1316	0.8437741123
1317	0.843770293
1318	0.8437662421
1319	0.8437614197
1320	0.8437579475
1321	0.8437538966
1322	0.8437503472
1323	0.8437460262
1324	0.8437387731
1325	0.8437346449
1326	0.8437280476
1327	0.8437240351
1328	0.8437186337
1329	0.8437142739
1330	0.8437111488
1331	0.8437049371
1332	0.8437008473
1333	0.8436971434
1334	0.8436915103
1335	0.843684874
1336	0.8436814787
1337	0.8436783149
1338	0.8436739935
1339	0.8436697493
1340	0.8436636916
1341	0.843658174
1342	0.8436540455
1343	0.8436488751
1344	0.8436415054
1345	0.843636605
1346	0.8436283477
1347	0.8436235245
1348	0.8436195887
1349	0.8436157301
1350	0.8436102508
1351	0.8436063535
1352	0.8436018388
1353	0.8435950089
1354	0.8435915746
1355	0.8435867512
1356	0.8435786477
1357	0.8435727051
1358	0.8435693094
1359	0.8435658364
1360	0.8435615144
1361	0.8435509796
1362	0.8435453841
1363	0.8435419111
1364	0.8435324565
1365	0.8435292535
1366	0.8435245841
1367	0.8435148206
1368	0.8435090705
1369	0.8435038993
1370	0.843499963
1371	0.8434945987
1372	0.8434887713
1373	0.8434835999
1374	0.8434795091
1375	0.8434742991
1376	0.8434709415
1377	0.8434663103
1378	0.8434625282
1379	0.8434580899
1380	0.8434545393
1381	0.8434511045
1382	0.8434470135
1383	0.8434433085
1384	0.8434371334
1385	0.843433737
1386	0.843427639
1387	0.8434238953
1388	0.8434165622
1389	0.8434120079
1390	0.8434014712
1391	0.8433935204
1392	0.8433850677
1393	0.8433810536
1394	0.8433736429
1395	0.843369513
1396	0.8433658848
1397	0.8433625654
1398	0.8433592459
1399	0.8433542282
1400	0.843347319
1401	0.8433430346
1402	0.8433362411
1403	0.8433298337
1404	0.8433251631
1405	0.8433204925
1406	0.8433149727
1407	0.8433115759
1408	0.8433083721
1409	0.8433028908
1410	0.8433002273
1411	0.8432964445
1412	0.8432921983
1413	0.8432886084
1414	0.8432847483
1415	0.8432810039
1416	0.8432755225
1417	0.8432692689
1418	0.8432648296
1419	0.8432602359
1420	0.8432565687
1421	0.8432509327
1422	0.8432477672
1423	0.8432438297
1424	0.8432395447
1425	0.8432356457
1426	0.843232403
1427	0.8432296621
1428	0.8432262263
1429	0.8432217868
1430	0.843218158
1431	0.8432135254
1432	0.8432099352
1433	0.8432050709
1434	0.8432017123
1435	0.8431987783
1436	0.8431946861
1437	0.8431908641
1438	0.8431871966
1439	0.8431824866
1440	0.8431780855
1441	0.8431748039
1442	0.8431715996
1443	0.8431670826
1444	0.8431605966
1445	0.8431545739
1446	0.8431500182
1447	0.843147084
1448	0.8431383199
1449	0.8431333781
1450	0.843128745
1451	0.8431248456
1452	0.8431174326
1453	0.8431131856
1454	0.8431081278
1455	0.8431030313
1456	0.8430993247
1457	0.8430935332
1458	0.8430891316
1459	0.8430852706
1460	0.8430799809
1461	0.8430756951
1462	0.8430726448
1463	0.8430668531
1464	0.8430629147
1465	0.8430585902
1466	0.8430536478
1467	0.8430503658
1468	0.843046659
1469	0.843043068
1470	0.8430397474
1471	0.8430365425
1472	0.8430299397
1473	0.84302631
1474	0.8430193982
1475	0.8430158843
1476	0.8430125249
1477	0.8430059219
1478	0.8430032189
1479	0.842999203
1480	0.842993488
1481	0.8429898582
1482	0.8429863828
1483	0.8429808609
1484	0.8429775785
1485	0.8429730605
1486	0.8429686197
1487	0.84296275
1488	0.8429583864
1489	0.8429524394
1490	0.8429491956
1491	0.8429456042
1492	0.8429406998
1493	0.8429372629
1494	0.8429343666
1495	0.8429305048
1496	0.8429269134
1497	0.8429240556
1498	0.8429211593
1499	0.8429162934
1500	0.8429126632
1501	0.842909651
1502	0.8429047464
1503	0.8428973701
1504	0.8428918476
1505	0.8428846257
1506	0.8428807251
1507	0.8428772106
1508	0.8428723445
1509	0.8428664355
1510	0.8428615693
1511	0.8428582093
1512	0.8428508712
