iter	Passed	Remaining
237	740	30380
238	743	30368
239	746	30352
240	749	30341
241	752	30330
242	755	30338
243	758	30329
244	761	30315
245	764	30306
246	767	30301
247	770	30300
248	773	30290
249	776	30277
250	779	30273
251	782	30270
252	785	30272
253	788	30262
254	791	30253
255	794	30243
256	797	30235
257	801	30248
258	804	30243
259	807	30236
260	810	30229
261	813	30218
262	816	30214
263	819	30208
264	822	30203
265	825	30199
266	828	30186
267	831	30176
268	834	30171
269	837	30163
270	839	30147
271	842	30142
272	845	30132
273	848	30128
274	851	30121
275	854	30112
276	857	30106
277	860	30100
278	864	30105
279	866	30095
280	869	30084
281	872	30074
282	875	30070
283	879	30083
284	882	30073
285	885	30065
286	888	30053
287	890	30042
288	893	30040
289	896	30031
290	899	30019
291	902	30010
292	905	29997
293	908	30000
294	911	29988
295	914	29983
296	917	29973
297	920	29965
298	923	29957
299	926	29954
300	929	29943
301	932	29937
302	935	29928
303	938	29920
304	941	29918
305	944	29907
306	946	29895
307	949	29886
308	952	29878
309	955	29869
310	958	29860
311	961	29855
312	964	29843
313	967	29833
314	970	29841
315	973	29843
316	977	29851
317	980	29843
318	983	29834
319	986	29844
320	989	29839
321	992	29830
322	995	29822
323	998	29811
324	1001	29813
325	1004	29807
326	1007	29797
327	1010	29790
328	1013	29780
329	1016	29781
330	1019	29769
331	1022	29770
332	1025	29759
333	1027	29746
334	1031	29753
335	1034	29750
336	1037	29740
337	1040	29730
338	1042	29723
339	1045	29711
340	1048	29708
341	1051	29700
342	1054	29690
343	1057	29685
344	1060	29677
345	1063	29679
346	1066	29671
347	1069	29662
348	1072	29655
349	1075	29646
350	1078	29645
351	1081	29634
352	1084	29629
353	1087	29621
354	1089	29613
355	1092	29608
356	1095	29600
357	1098	29592
358	1101	29582
359	1104	29577
360	1107	29569
361	1110	29568
362	1113	29558
363	1116	29551
364	1119	29547
365	1122	29537
366	1125	29541
367	1128	29542
368	1131	29533
369	1134	29527
370	1137	29520
371	1140	29520
372	1143	29518
373	1146	29510
374	1149	29504
375	1152	29495
376	1155	29494
377	1158	29492
378	1161	29489
379	1164	29484
380	1167	29479
381	1171	29489
382	1174	29496
383	1177	29496
384	1180	29488
385	1183	29486
386	1187	29493
387	1190	29495
388	1193	29496
389	1197	29497
390	1200	29491
391	1203	29492
392	1206	29491
393	1209	29488
394	1212	29485
395	1215	29481
396	1218	29485
397	1221	29479
398	1225	29478
399	1228	29474
400	1231	29474
401	1234	29470
402	1237	29470
403	1240	29475
404	1243	29469
405	1247	29476
406	1250	29483
407	1253	29477
408	1256	29471
409	1259	29466
410	1262	29464
411	1265	29459
412	1268	29456
413	1271	29451
414	1275	29450
415	1278	29447
416	1281	29439
417	1284	29435
418	1287	29437
419	1290	29434
420	1293	29435
421	1296	29430
422	1299	29426
423	1302	29418
424	1305	29412
425	1308	29414
426	1311	29409
427	1314	29401
428	1317	29402
429	1320	29394
430	1323	29388
431	1326	29382
432	1329	29374
433	1332	29368
434	1335	29360
435	1338	29359
436	1341	29359
437	1344	29351
438	1347	29344
439	1350	29343
440	1353	29338
441	1356	29331
442	1359	29325
443	1362	29319
444	1365	29316
445	1368	29307
446	1371	29314
447	1374	29308
448	1377	29302
449	1380	29303
450	1383	29300
451	1386	29296
452	1389	29290
453	1392	29283
454	1395	29280
455	1398	29274
456	1401	29273
457	1404	29269
458	1407	29260
459	1410	29253
460	1413	29245
461	1416	29243
462	1419	29239
463	1422	29236
464	1425	29229
465	1428	29223
466	1431	29215
467	1434	29211
468	1437	29207
469	1440	29198
470	1443	29194
471	1446	29190
472	1449	29187
473	1452	29181
474	1454	29176
475	1457	29170
476	1460	29163
477	1463	29160
478	1466	29156
479	1469	29151
480	1472	29148
481	1476	29152
482	1479	29159
483	1482	29156
484	1486	29153
485	1488	29145
486	1491	29139
487	1494	29140
488	1497	29135
489	1501	29133
490	1503	29127
491	1507	29128
492	1510	29124
493	1513	29114
494	1515	29107
495	1519	29107
496	1521	29100
497	1524	29090
498	1527	29082
499	1530	29073
500	1533	29082
501	1538	29099
502	1541	29107
503	1544	29103
504	1547	29096
505	1550	29089
506	1553	29087
507	1556	29083
508	1559	29078
509	1562	29073
510	1565	29068
511	1568	29058
512	1571	29063
513	1574	29057
514	1577	29051
515	1580	29050
516	1583	29043
517	1586	29041
518	1589	29034
519	1592	29029
520	1595	29031
521	1599	29035
522	1602	29040
523	1605	29035
524	1608	29030
525	1611	29025
526	1614	29017
527	1617	29013
528	1620	29007
529	1623	29003
530	1626	28998
531	1628	28990
532	1631	28985
533	1635	28985
534	1638	28981
535	1641	28975
536	1643	28968
537	1646	28964
538	1649	28960
539	1652	28953
540	1655	28952
541	1658	28946
542	1662	28946
543	1665	28943
544	1668	28939
545	1671	28939
546	1674	28931
547	1677	28927
548	1680	28929
549	1683	28926
550	1686	28924
551	1689	28920
552	1692	28914
553	1695	28910
554	1698	28907
555	1701	28904
556	1704	28899
557	1707	28897
558	1710	28894
559	1713	28888
560	1716	28883
561	1719	28876
562	1722	28875
563	1725	28870
564	1728	28866
565	1731	28865
566	1734	28859
567	1737	28855
568	1740	28853
569	1743	28850
570	1746	28845
571	1749	28840
572	1752	28838
573	1755	28833
574	1758	28828
575	1761	28826
576	1764	28822
577	1767	28815
578	1770	28815
579	1774	28814
580	1777	28810
581	1780	28805
582	1783	28810
583	1786	28808
584	1789	28803
585	1792	28801
586	1795	28795
587	1798	28789
588	1801	28790
589	1804	28787
590	1807	28779
591	1810	28773
592	1813	28771
593	1816	28768
594	1819	28763
595	1822	28757
596	1825	28751
597	1828	28746
598	1831	28743
599	1834	28740
600	1837	28735
601	1840	28732
602	1843	28730
603	1846	28729
604	1849	28725
605	1853	28725
606	1855	28719
607	1859	28725
608	1862	28721
609	1865	28719
610	1868	28712
611	1871	28708
612	1874	28703
613	1877	28701
614	1880	28697
615	1883	28689
616	1886	28682
617	1889	28682
618	1892	28677
619	1895	28672
620	1898	28666
621	1900	28660
622	1903	28655
623	1906	28652
624	1909	28645
625	1912	28641
626	1915	28635
627	1918	28635
628	1921	28631
629	1924	28627
630	1927	28623
631	1930	28618
632	1933	28616
633	1937	28617
634	1940	28613
635	1943	28610
636	1946	28604
637	1949	28602
638	1952	28604
639	1955	28600
640	1958	28595
641	1961	28591
642	1964	28583
643	1967	28581
644	1970	28578
645	1973	28574
646	1976	28569
647	1979	28572
648	1983	28573
649	1986	28569
650	1989	28565
651	1991	28559
652	1994	28556
653	1998	28555
654	2001	28550
655	2004	28545
656	2006	28539
657	2009	28533
658	2012	28528
659	2015	28524
660	2018	28519
661	2021	28513
662	2024	28510
663	2027	28510
664	2030	28504
665	2033	28500
666	2036	28497
667	2039	28493
668	2042	28490
669	2045	28488
670	2048	28485
671	2051	28477
672	2054	28472
673	2057	28467
674	2060	28462
675	2063	28458
676	2066	28453
677	2069	28449
678	2072	28445
679	2075	28441
680	2078	28438
681	2081	28435
682	2084	28431
683	2087	28427
684	2090	28426
685	2093	28422
686	2096	28418
687	2099	28413
688	2102	28409
689	2105	28407
690	2108	28402
691	2111	28396
692	2114	28391
693	2117	28387
694	2120	28387
695	2123	28383
696	2126	28378
697	2129	28372
698	2132	28369
699	2135	28367
700	2138	28363
701	2141	28361
702	2144	28358
703	2147	28357
704	2150	28359
705	2153	28354
706	2156	28350
707	2159	28345
708	2162	28341
709	2165	28339
710	2168	28335
711	2171	28329
712	2174	28322
713	2177	28318
714	2180	28321
715	2184	28319
716	2187	28317
717	2190	28313
718	2193	28309
719	2196	28306
720	2199	28302
721	2202	28297
722	2205	28293
723	2207	28286
724	2210	28283
725	2213	28280
726	2216	28275
727	2219	28271
728	2222	28265
729	2225	28260
730	2228	28255
731	2231	28249
732	2234	28244
733	2236	28239
734	2239	28234
735	2242	28229
736	2245	28224
737	2248	28221
738	2251	28215
739	2254	28211
740	2257	28214
741	2261	28212
742	2264	28209
743	2267	28204
744	2269	28198
745	2273	28201
746	2276	28197
747	2279	28192
748	2282	28191
749	2285	28186
750	2288	28184
751	2291	28182
752	2294	28178
753	2297	28172
754	2300	28167
755	2303	28165
756	2306	28159
757	2309	28154
758	2312	28149
759	2315	28146
760	2318	28142
761	2321	28142
762	2324	28137
763	2327	28132
764	2329	28126
765	2332	28122
766	2336	28121
767	2338	28115
768	2341	28109
769	2344	28106
770	2347	28102
771	2350	28101
772	2353	28097
773	2356	28094
774	2359	28090
775	2362	28086
776	2365	28083
777	2368	28078
778	2371	28074
779	2374	28068
780	2377	28063
781	2380	28060
782	2383	28059
783	2386	28055
784	2389	28052
785	2392	28047
786	2395	28047
787	2398	28043
788	2401	28038
789	2404	28034
790	2407	28029
791	2410	28024
792	2413	28022
793	2416	28019
794	2419	28015
795	2422	28014
796	2425	28009
797	2428	28004
798	2431	27999
799	2434	27995
800	2437	27989
801	2440	27985
802	2443	27987
803	2446	27983
804	2449	27978
805	2452	27974
806	2455	27970
807	2458	27971
808	2462	27972
809	2465	27968
810	2468	27965
811	2471	27961
812	2474	27962
813	2477	27962
814	2481	27960
815	2484	27963
816	2487	27959
817	2490	27959
818	2493	27955
819	2496	27952
820	2499	27948
821	2502	27945
822	2506	27943
823	2509	27942
824	2512	27942
825	2515	27938
826	2518	27935
827	2522	27937
828	2525	27939
829	2529	27940
830	2532	27941
831	2536	27945
832	2539	27948
833	2542	27948
834	2545	27943
835	2548	27939
836	2552	27937
837	2555	27934
838	2558	27931
839	2560	27926
840	2564	27923
841	2567	27920
842	2570	27917
843	2573	27916
844	2576	27912
845	2580	27922
846	2583	27919
847	2586	27916
848	2589	27913
849	2592	27908
850	2596	27909
851	2599	27907
852	2602	27905
853	2605	27900
854	2608	27898
855	2611	27896
856	2614	27895
857	2617	27892
858	2620	27888
859	2623	27883
860	2627	27885
861	2630	27883
862	2633	27880
863	2636	27876
864	2639	27870
865	2642	27870
866	2645	27865
867	2648	27863
868	2652	27866
869	2655	27863
870	2658	27865
871	2662	27871
872	2666	27872
873	2669	27875
874	2672	27871
875	2675	27867
876	2678	27862
877	2681	27857
878	2684	27857
879	2687	27857
880	2690	27853
881	2693	27849
882	2696	27844
883	2699	27840
884	2702	27838
885	2705	27834
886	2708	27829
887	2711	27825
888	2714	27820
889	2717	27817
890	2720	27813
891	2723	27811
892	2726	27806
893	2729	27801
894	2732	27798
895	2735	27792
896	2738	27788
897	2741	27784
898	2743	27778
899	2746	27773
900	2750	27772
901	2752	27767
902	2755	27761
903	2758	27757
904	2761	27752
905	2764	27748
906	2767	27743
907	2770	27737
908	2772	27732
909	2775	27728
910	2778	27724
911	2782	27722
912	2785	27719
913	2788	27715
914	2790	27710
915	2794	27708
916	2797	27705
917	2799	27700
918	2802	27696
919	2805	27693
920	2808	27689
921	2811	27685
922	2814	27681
923	2817	27675
924	2820	27671
925	2823	27667
926	2826	27664
927	2829	27659
928	2832	27655
929	2835	27650
930	2838	27645
931	2840	27639
932	2843	27637
933	2846	27633
934	2849	27630
935	2852	27625
936	2855	27621
937	2858	27618
938	2861	27614
939	2864	27608
940	2867	27605
941	2870	27601
942	2873	27598
943	2876	27593
944	2879	27589
945	2882	27585
946	2885	27581
947	2888	27577
948	2891	27576
949	2894	27572
950	2897	27568
951	2900	27564
952	2903	27559
953	2906	27558
954	2909	27554
955	2912	27550
956	2915	27546
957	2918	27541
958	2920	27537
959	2923	27532
960	2926	27528
961	2929	27523
962	2932	27518
963	2935	27516
964	2938	27516
965	2941	27513
966	2944	27508
967	2947	27504
968	2950	27502
969	2954	27500
970	2957	27497
971	2960	27495
972	2963	27491
973	2966	27491
974	2969	27488
975	2972	27487
976	2975	27482
977	2978	27479
978	2981	27474
979	2984	27468
980	2987	27466
981	2990	27464
982	2993	27463
983	2997	27461
984	3000	27458
985	3003	27456
986	3006	27452
987	3009	27447
988	3012	27443
989	3015	27441
990	3017	27435
991	3020	27431
992	3023	27426
993	3026	27423
994	3030	27422
995	3032	27418
996	3035	27414
997	3038	27409
998	3041	27405
999	3044	27402
1000	3047	27399
1001	3050	27395
1002	3053	27389
1003	3056	27386
1004	3059	27383
1005	3062	27380
1006	3065	27376
1007	3068	27372
1008	3071	27367
1009	3074	27364
1010	3077	27361
1011	3080	27360
1012	3083	27355
1013	3086	27355
1014	3089	27351
1015	3092	27347
1016	3095	27344
1017	3098	27342
1018	3101	27339
1019	3105	27336
1020	3107	27331
1021	3110	27327
1022	3113	27324
1023	3116	27319
1024	3120	27320
1025	3123	27319
1026	3127	27321
1027	3130	27321
1028	3133	27322
1029	3137	27320
1030	3140	27318
1031	3143	27315
1032	3146	27310
1033	3149	27307
1034	3152	27302
1035	3155	27298
1036	3157	27295
1037	3160	27290
1038	3163	27284
1039	3166	27281
1040	3169	27276
1041	3172	27272
1042	3175	27270
1043	3178	27265
1044	3181	27263
1045	3185	27266
1046	3188	27262
1047	3191	27261
1048	3194	27258
1049	3197	27254
1050	3200	27252
1051	3203	27250
1052	3207	27248
1053	3210	27251
1054	3213	27249
1055	3217	27247
1056	3220	27245
1057	3223	27240
1058	3226	27236
1059	3228	27232
1060	3231	27228
1061	3234	27225
1062	3237	27222
1063	3241	27219
1064	3244	27216
1065	3246	27211
1066	3249	27205
1067	3252	27201
1068	3255	27197
1069	3258	27195
1070	3261	27191
1071	3264	27186
1072	3267	27182
1073	3270	27179
1074	3273	27176
1075	3276	27171
1076	3279	27167
1077	3281	27162
1078	3285	27160
1079	3288	27158
1080	3291	27154
1081	3294	27150
1082	3296	27145
1083	3300	27143
1084	3303	27139
1085	3305	27134
1086	3308	27130
1087	3311	27126
1088	3314	27121
1089	3317	27120
1090	3320	27116
1091	3323	27111
1092	3326	27106
1093	3329	27101
1094	3332	27101
1095	3335	27097
1096	3338	27093
1097	3341	27089
1098	3344	27085
1099	3347	27083
1100	3350	27080
1101	3353	27075
1102	3356	27071
1103	3358	27066
1104	3362	27065
1105	3365	27062
1106	3368	27057
1107	3371	27053
1108	3373	27049
1109	3376	27045
1110	3380	27043
1111	3382	27039
1112	3386	27037
1113	3389	27033
1114	3391	27028
1115	3394	27025
1116	3397	27021
1117	3400	27017
1118	3403	27013
1119	3406	27008
1120	3409	27005
1121	3412	27001
1122	3415	26996
1123	3418	26992
1124	3420	26987
1125	3423	26984
1126	3427	26983
1127	3429	26977
1128	3432	26973
1129	3435	26969
1130	3438	26965
1131	3441	26963
1132	3444	26960
1133	3447	26956
1134	3450	26952
1135	3453	26947
1136	3456	26944
1137	3459	26939
1138	3462	26937
1139	3465	26933
1140	3468	26929
1141	3471	26924
1142	3474	26920
1143	3477	26916
1144	3479	26912
1145	3482	26907
1146	3486	26907
1147	3489	26903
1148	3491	26898
1149	3494	26895
1150	3497	26891
1151	3500	26887
1152	3503	26883
1153	3506	26879
1154	3509	26874
1155	3512	26871
1156	3515	26866
1157	3518	26863
1158	3521	26860
1159	3524	26856
1160	3527	26853
1161	3530	26848
1162	3533	26846
1163	3536	26842
1164	3538	26838
1165	3541	26833
1166	3544	26828
1167	3547	26827
1168	3550	26822
1169	3553	26818
1170	3556	26814
1171	3559	26809
1172	3562	26805
1173	3565	26804
1174	3568	26800
1175	3571	26795
1176	3574	26791
1177	3576	26787
1178	3580	26786
1179	3583	26782
1180	3586	26781
1181	3589	26777
1182	3592	26773
1183	3595	26772
1184	3598	26767
1185	3601	26764
1186	3604	26761
1187	3607	26758
1188	3610	26757
1189	3613	26753
1190	3616	26750
1191	3619	26747
1192	3622	26743
1193	3625	26740
1194	3628	26737
1195	3632	26737
1196	3635	26734
1197	3638	26729
1198	3641	26727
1199	3644	26724
1200	3647	26719
1201	3649	26715
1202	3652	26712
1203	3655	26709
1204	3659	26706
1205	3661	26702
1206	3664	26698
1207	3667	26693
1208	3670	26691
1209	3673	26688
1210	3676	26683
1211	3679	26677
1212	3681	26671
1213	3685	26670
1214	3689	26673
1215	3692	26671
1216	3695	26671
1217	3698	26666
1218	3701	26666
1219	3704	26663
1220	3707	26660
1221	3711	26657
1222	3713	26653
1223	3716	26649
1224	3719	26645
1225	3722	26641
1226	3725	26638
1227	3728	26635
1228	3731	26631
1229	3735	26633
1230	3738	26629
1231	3741	26626
1232	3744	26626
1233	3747	26623
1234	3751	26622
1235	3754	26619
1236	3757	26617
1237	3760	26614
1238	3763	26612
1239	3767	26612
1240	3770	26613
1241	3773	26612
1242	3777	26609
1243	3780	26607
1244	3783	26603
1245	3786	26599
1246	3789	26597
1247	3792	26593
1248	3795	26589
1249	3797	26585
1250	3800	26581
1251	3803	26576
1252	3806	26573
1253	3809	26569
1254	3812	26565
1255	3815	26562
1256	3818	26557
1257	3821	26553
1258	3824	26549
1259	3827	26546
1260	3829	26542
1261	3832	26539
1262	3835	26535
1263	3838	26531
1264	3841	26527
1265	3844	26523
1266	3847	26519
1267	3850	26516
1268	3853	26511
1269	3856	26511
1270	3859	26507
1271	3862	26503
1272	3865	26498
1273	3868	26495
1274	3871	26491
1275	3874	26488
1276	3877	26484
1277	3880	26480
1278	3882	26476
1279	3885	26473
1280	3889	26471
1281	3892	26468
1282	3895	26463
1283	3898	26460
1284	3901	26457
1285	3904	26455
1286	3907	26452
1287	3910	26448
1288	3913	26444
1289	3916	26442
1290	3919	26439
1291	3922	26436
1292	3925	26432
1293	3928	26429
1294	3931	26427
1295	3934	26424
1296	3937	26420
1297	3940	26416
1298	3943	26412
1299	3946	26409
1300	3949	26409
1301	3952	26405
1302	3955	26401
1303	3958	26397
1304	3961	26392
1305	3964	26389
1306	3967	26385
1307	3969	26381
1308	3972	26376
1309	3975	26372
1310	3978	26368
1311	3981	26365
1312	3984	26361
1313	3987	26357
1314	3990	26355
1315	3993	26351
1316	3996	26348
1317	3999	26344
1318	4002	26340
1319	4005	26336
1320	4007	26332
1321	4011	26330
1322	4014	26326
1323	4017	26323
1324	4019	26319
1325	4022	26315
1326	4025	26310
1327	4028	26307
1328	4031	26306
1329	4034	26301
1330	4037	26297
1331	4040	26293
1332	4043	26290
1333	4046	26286
1334	4049	26283
1335	4052	26279
1336	4055	26275
1337	4057	26270
1338	4061	26267
1339	4064	26264
1340	4067	26263
1341	4070	26260
1342	4073	26256
1343	4076	26252
1344	4079	26249
1345	4082	26247
1346	4085	26243
1347	4088	26239
1348	4091	26237
1349	4094	26236
1350	4097	26234
1351	4100	26229
1352	4103	26225
1353	4106	26223
1354	4110	26226
1355	4114	26226
1356	4117	26222
1357	4120	26223
1358	4124	26222
1359	4127	26222
1360	4130	26220
1361	4133	26217
1362	4137	26215
1363	4140	26212
1364	4143	26209
1365	4145	26205
1366	4148	26201
1367	4152	26199
1368	4155	26197
1369	4158	26194
1370	4161	26190
1371	4164	26187
1372	4167	26186
1373	4170	26183
1374	4173	26179
1375	4176	26177
1376	4179	26174
1377	4183	26173
1378	4186	26173
1379	4189	26170
1380	4192	26168
1381	4195	26164
1382	4199	26165
1383	4202	26163
1384	4205	26161
1385	4208	26158
1386	4211	26154
1387	4214	26150
1388	4217	26146
1389	4220	26142
1390	4223	26139
1391	4226	26139
1392	4230	26137
1393	4233	26135
1394	4236	26131
1395	4239	26128
1396	4242	26124
1397	4245	26123
1398	4248	26120
1399	4251	26117
1400	4254	26113
1401	4257	26109
1402	4260	26106
1403	4263	26102
1404	4266	26098
1405	4269	26094
1406	4272	26090
1407	4274	26086
1408	4277	26082
1409	4280	26078
1410	4283	26074
1411	4286	26071
1412	4289	26067
1413	4292	26065
1414	4295	26062
1415	4298	26058
1416	4301	26055
1417	4304	26053
1418	4307	26050
1419	4311	26048
1420	4314	26045
1421	4317	26042
1422	4320	26039
1423	4323	26035
1424	4326	26033
1425	4329	26030
1426	4332	26027
1427	4335	26023
1428	4338	26019
1429	4341	26016
1430	4344	26012
1431	4346	26009
1432	4349	26005
1433	4353	26005
1434	4356	26001
1435	4359	25997
1436	4362	25993
1437	4364	25989
1438	4367	25985
1439	4370	25982
1440	4373	25978
1441	4376	25974
1442	4379	25970
1443	4382	25967
1444	4385	25963
1445	4388	25960
1446	4391	25956
1447	4394	25954
1448	4397	25950
1449	4400	25947
1450	4403	25944
1451	4406	25941
1452	4409	25938
1453	4412	25935
1454	4416	25934
1455	4419	25932
1456	4422	25929
1457	4425	25927
1458	4428	25925
1459	4431	25921
1460	4434	25920
1461	4437	25916
1462	4440	25912
1463	4443	25909
1464	4447	25908
1465	4450	25906
1466	4453	25903
1467	4456	25900
1468	4459	25897
1469	4462	25895
1470	4465	25891
1471	4468	25887
1472	4471	25883
1473	4474	25880
1474	4477	25878
1475	4480	25875
1476	4483	25871
1477	4486	25868
1478	4489	25864
1479	4492	25860
1480	4495	25858
1481	4498	25854
1482	4501	25851
1483	4504	25848
1484	4507	25845
1485	4510	25841
1486	4513	25837
1487	4516	25834
1488	4519	25830
1489	4522	25828
1490	4525	25824
1491	4528	25823
1492	4532	25823
1493	4537	25832
1494	4543	25845
1495	4549	25864
1496	4560	25905
1497	4566	25917
1498	4572	25931
1499	4578	25946
1500	4584	25959
1501	4588	25959
1502	4592	25961
1503	4598	25978
1504	4606	26002
1505	4611	26010
1506	4618	26027
1507	4623	26035
1508	4629	26047
1509	4633	26053
1510	4638	26057
1511	4641	26059
1512	4645	26059
1513	4649	26058
1514	4653	26060
1515	4657	26066
1516	4662	26069
1517	4665	26070
1518	4669	26071
1519	4673	26072
1520	4677	26072
1521	4680	26073
1522	4684	26071
1523	4687	26071
1524	4690	26067
1525	4693	26064
1526	4696	26060
1527	4699	26057
1528	4702	26053
1529	4705	26051
1530	4708	26046
1531	4711	26043
1532	4714	26039
1533	4717	26035
1534	4720	26034
1535	4724	26035
1536	4730	26044
1537	4735	26053
1538	4739	26054
1539	4742	26052
1540	4745	26050
1541	4748	26047
1542	4751	26045
1543	4754	26040
1544	4757	26037
1545	4760	26033
1546	4763	26029
1547	4766	26026
1548	4769	26022
1549	4772	26018
1550	4775	26014
1551	4778	26010
1552	4781	26007
1553	4784	26004
1554	4787	26000
1555	4790	25996
1556	4793	25992
1557	4796	25989
1558	4799	25987
1559	4803	25985
1560	4806	25985
1561	4811	25990
1562	4814	25989
1563	4819	25994
1564	4827	26018
1565	4834	26036
1566	4838	26040
1567	4842	26041
1568	4849	26060
1569	4854	26066
1570	4860	26075
1571	4865	26083
1572	4868	26082
1573	4872	26081
1574	4875	26079
1575	4879	26083
1576	4883	26083
1577	4887	26087
1578	4891	26087
1579	4895	26087
1580	4899	26092
1581	4904	26096
1582	4912	26117
1583	4917	26124
1584	4921	26126
1585	4924	26126
1586	4929	26131
1587	4936	26147
1588	4941	26156
1589	4946	26162
1590	4951	26168
1591	4955	26172
1592	4960	26177
1593	4963	26176
1594	4967	26176
1595	4971	26176
1596	4974	26176
1597	4979	26182
1598	4986	26200
1599	4992	26213
1600	4997	26216
1601	5001	26217
1602	5004	26215
1603	5008	26214
1604	5011	26213
1605	5014	26211
1606	5018	26208
1607	5021	26205
1608	5024	26205
1609	5028	26203
1610	5031	26201
1611	5035	26199
1612	5038	26200
1613	5042	26198
1614	5045	26198
1615	5049	26196
1616	5052	26194
1617	5056	26193
1618	5059	26193
1619	5063	26193
1620	5067	26191
1621	5070	26190
1622	5073	26188
1623	5077	26186
1624	5080	26185
1625	5084	26186
1626	5088	26189
1627	5093	26191
1628	5098	26200
1629	5105	26215
1630	5109	26216
1631	5114	26224
1632	5118	26226
1633	5122	26226
1634	5126	26226
1635	5130	26228
1636	5134	26228
1637	5137	26228
1638	5142	26235
1639	5147	26237
1640	5151	26239
1641	5155	26241
1642	5161	26251
1643	5165	26256
1644	5169	26255
1645	5173	26256
1646	5178	26261
1647	5182	26262
1648	5185	26262
1649	5205	26342
1650	5212	26359
1651	5216	26359
1652	5219	26358
1653	5225	26365
1654	5229	26366
1655	5233	26369
1656	5237	26371
1657	5241	26371
1658	5246	26376
1659	5250	26376
1660	5253	26377
1661	5257	26374
1662	5261	26374
1663	5265	26377
1664	5268	26376
1665	5272	26373
1666	5275	26370
1667	5278	26366
1668	5281	26364
1669	5284	26360
1670	5287	26356
1671	5291	26354
1672	5294	26353
1673	5298	26354
1674	5302	26354
1675	5306	26355
1676	5309	26352
1677	5312	26349
1678	5316	26345
1679	5319	26343
1680	5322	26339
1681	5325	26335
1682	5328	26332
1683	5331	26328
1684	5334	26325
1685	5337	26322
1686	5341	26318
1687	5344	26315
1688	5347	26314
1689	5350	26311
1690	5354	26309
1691	5357	26307
1692	5361	26304
1693	5364	26300
1694	5367	26297
1695	5370	26293
1696	5373	26290
1697	5376	26287
1698	5379	26285
